session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
350,215.14790600579,1602.2339779581525,0,80,0,1
351,1236.4341243237723,887.8141675884835,0,80,0,1
352,-1752.382534532284,2446.273385367589,0,80,0,1
353,-1383.7456188149517,2243.505756653496,0,80,0,1
354,-289.2256252449006,1548.0951271587983,0,80,0,1
355,374.7409291516524,1832.5466126671527,0,80,0,1
356,430.01994863612344,915.2960920238984,0,80,0,1
357,-230.46638278401224,1268.891247872787,0,80,0,1
358,731.9925047948491,1137.1668132379418,0,80,0,1
359,-1341.4261834788485,1579.5637380777043,0,80,0,1
360,217.97505655803252,947.0002331575379,0,80,0,1
361,800.1764729010174,1704.3060478343978,0,80,0,1
362,-213.43101137760095,1155.8030199945206,0,80,0,1
363,-185.58470594475511,1649.5237631616183,0,80,0,1
364,118.79504581179935,962.7404678755556,0,80,0,1
365,-571.4286394489463,1391.300401365792,0,80,0,1
366,-679.0035379065666,1336.8367069350206,0,80,0,1
367,130.03265011234907,1593.8141717624385,0,80,0,1
368,-2099.8532818609965,2750.758649093972,0,80,0,1
369,-2124.3144777715206,2152.2366855316213,0,80,0,1
370,659.0646189573454,1046.924522232206,0,80,0,1
371,-310.6776224289206,990.8237615572289,0,80,0,1
372,74.88588437694125,925.3145566669991,0,80,0,1
373,-1197.0680345593719,1710.2018007559818,0,80,0,1
374,-790.6447512265877,1643.74833900854,0,80,0,1
375,-913.808124223724,2308.2576891943463,0,80,0,1
376,-1124.6512324527139,2097.0887610741775,0,80,0,1
377,-834.4407185486052,1392.697889637784,0,80,0,1
378,606.5193559583859,1274.5846958778566,0,80,0,1
379,-895.4328881652909,1161.1245303152245,0,80,0,1
380,-649.6811404114706,2380.594598916534,0,80,0,1
381,-605.7867283016676,1463.068819319713,0,80,0,1
382,972.0002926518209,806.4157396181254,0,80,0,1
383,-368.64593221229734,1458.738392953237,0,80,0,1
384,-2079.4237973006675,2354.000439244788,0,80,0,1
385,-33.7482357256813,1195.906116178725,0,80,0,1
386,668.2107518691919,1222.6102156747365,0,80,0,1
387,-1392.805102133134,1769.0291506371577,0,80,0,1
388,-2094.869883444684,2145.074020302214,0,80,0,1
389,-870.7627685681218,2341.32482765679,0,80,0,1
390,-1378.402813842462,1928.2840907392674,0,80,0,1
391,-1160.1893049958744,2034.2847016977612,0,80,0,1
392,1724.8530398961739,966.9017511166749,0,80,0,1
393,592.1153081824887,1333.4463364708354,0,80,0,1
394,-1287.9462247752235,2253.643270630506,0,80,0,1
395,-1165.350780257606,1243.0650327518233,0,80,0,1
396,-12.332214591908269,1322.765671300469,0,80,0,1
397,-295.87022213911405,1358.2923828047933,0,80,0,1
398,425.4630297573167,978.4456565443543,0,80,0,1
399,-665.7666819542064,1227.5660554384813,0,80,0,1
400,1258.6266653537168,588.7176549345022,0,80,0,1
401,-1396.3934702675906,2413.9696120048175,0,80,0,1
402,32.98248415987473,855.7384379733703,0,80,0,1
403,643.6657488979981,1376.7967285274062,0,80,0,1
404,-1120.600689922343,1734.4698928014259,0,80,0,1
405,36.37114307342563,1173.9708323584637,0,80,0,1
406,-1111.2048788955435,1590.0901493023266,0,80,0,1
407,-590.0302595359972,1092.5975813945988,0,80,0,1
408,-853.5382716500317,1510.5309869483463,0,80,0,1
409,-822.015222688904,1396.7012618259178,0,80,0,1
410,448.3121904069558,1254.3199599004001,0,80,0,1
411,-840.0745119456551,1106.2860445690458,0,80,0,1
412,-565.7207440409111,1300.9327735417755,0,80,0,1
413,-835.0651071736356,1352.5215933369473,0,80,0,1
414,73.30294713407056,873.0102732886444,0,80,0,1
415,-625.7831963631907,1275.712794883817,0,80,0,1
416,-76.65037708351156,942.2632566777756,0,80,0,1
417,-639.3777180818142,1588.922344555147,0,80,0,1
418,-733.7550708267372,1068.9356829928001,0,80,0,1
419,-720.5068190441234,1572.404367982177,0,80,0,1
420,-1259.7693393217633,1396.238378371636,0,80,0,1
