strategy,p1,hold,day2_alpha,day2_edge,day2_trades,day3_alpha,day3_edge,day3_trades,day4_alpha,day4_edge,day4_trades,day3_10pct_alpha,day3_10pct_edge,day3_10pct_trades,alpha_score,trade_score,score
reversal,2.0,3,0.05653541057915636,-11.148827920131865,427104,0.10829462569970003,-11.247834967225343,430363,0.1401375284152062,-11.30701196218087,422749,0.23642135237961862,-11.14634829493733,42843,0.1603762450888806,-11.19124110452037,0.1603762450888806
reversal,2.0,2,0.045611184724946977,-11.159776099486368,427154,0.08648437663360539,-11.26966657605602,430413,0.10759722705115196,-11.339563244000104,422799,0.25799081435199217,-11.124915487375562,42893,0.15865456278777976,-11.193034991027497,0.15865456278777976
reversal,4.0,1,0.10075818372626817,-11.0562296213571,356378,0.09694516666017136,-11.226175696064404,359234,0.25952702779450015,-11.177659900725814,352156,0.16407120570537106,-11.17542344550925,35896,0.1523017668138799,-11.162070599072335,0.1523017668138799
reversal,10.0,3,0.11524308921751893,-10.895051445894772,186701,0.1765298791537546,-11.057774584758576,186518,0.38323195935551335,-11.058048692357808,182657,0.06684797389175959,-11.160674462877346,18385,0.14592097582887353,-11.071576018279146,0.14592097582887353
reversal,6.0,3,0.08130830890075641,-11.022360511938036,292301,0.09403410252565868,-11.19308067659847,293468,0.2204590870388712,-11.205539627100384,287745,0.16703277844516903,-11.137017333104513,29135,0.14330209564143978,-11.13557698166939,0.14330209564143978
reversal,10.0,2,0.08729270525994506,-10.92306333031684,186751,0.21657518974314996,-11.017811200205823,186568,0.1853459363899577,-11.255885105660976,182707,0.10694331434770817,-11.121508001084893,18435,0.13669996091558134,-11.081236272441881,0.13669996091558134
reversal,2.0,1,0.07885108753663356,-11.12655546296383,427204,0.09659831390851246,-11.259573993583652,430463,0.2057803140128036,-11.241386405076044,422849,0.13018419765735975,-11.252846796916844,42943,0.12453981633676163,-11.227214910683482,0.12453981633676163
reversal,12.0,1,0.13618964475186354,-10.913945037643916,134019,0.12126727654930454,-11.248408762973435,136529,0.5901027182201489,-11.053788762297778,133764,-0.10333775419982316,-11.382478632478632,13572,0.09350480260333553,-11.212654459083522,0.09350480260333553
momentum,16.0,1,-0.2378212378672699,-11.338901017965647,76034,-0.0971291374573094,-11.625067406209075,77886,-1.0708065964674798,-12.928230225565867,76829,0.6346078559310975,-10.78546261255383,7663,0.05796247063395604,-11.385486394319047,0.05796247063395604
reversal,14.0,3,0.2609577721258424,-10.800993597039001,101047,0.07478281853281853,-11.363320463320463,103600,0.6786938196714855,-11.065555205420097,101548,-0.24841615521678875,-11.580776083943773,10102,0.057164921234900065,-11.304045330659605,0.057164921234900065
momentum,16.0,3,-0.42786498801590855,-11.52868280348724,75934,-0.01648754274548119,-11.54449386779112,77786,-0.9506184102490584,-12.808703358573682,76729,0.6324871082903609,-10.786857067301336,7563,0.05315593104102573,-11.390026518327325,0.05315593104102573
momentum,14.0,1,-0.19598208547954957,-11.258247896625702,101147,-0.10784956605593057,-11.546065573770491,103700,-0.7743290571383599,-12.518121359987408,101648,0.41232111350715545,-10.921976083120956,10202,0.008628812200369929,-11.353470135481782,0.008628812200369929
reversal,12.0,3,0.16349061746279467,-10.886416415893189,133919,0.0598699689948618,-11.309706880501945,136429,0.46553671893703613,-11.178597079243476,133664,-0.24888657957244656,-11.52605403800475,13472,0.0025036643244857604,-11.302738538267684,0.0025036643244857604
reversal,12.0,2,0.08879292970761893,-10.96122983675328,133969,0.12273683130738063,-11.246858491049904,136479,0.17884439924016932,-11.465112104940395,133714,-0.15227037420499925,-11.430187842035203,13522,0.0006109436967756364,-11.304969010217537,0.0006109436967756364
momentum,12.0,2,-0.08879292970761893,-11.138815696168516,133969,-0.12273683130738063,-11.492332153664666,136479,-0.17884439924016932,-11.822800903420735,133714,0.15227037420499925,-11.125647093625203,13522,-0.0006109436967756364,-11.306190897611089,-0.0006109436967756364
momentum,12.0,3,-0.16349061746279467,-11.213397650818779,133919,-0.0598699689948618,-11.42944681849167,136429,-0.46553671893703613,-12.109670517117548,133664,0.24888657957244656,-11.028280878859858,13472,-0.0025036643244857604,-11.30774586691666,-0.0025036643244857604
reversal,14.0,1,0.19598208547954957,-10.866283725666603,101147,0.10784956605593057,-11.330366441658631,103700,0.7743290571383599,-10.969463245710688,101648,-0.41232111350715545,-11.746618310135268,10202,-0.008628812200369929,-11.370727759882522,-0.008628812200369929
reversal,16.0,3,0.42786498801590855,-10.672952827455422,75934,0.01648754274548119,-11.511518782300158,77786,0.9506184102490584,-10.907466538075564,76729,-0.6324871082903609,-12.051831283882057,7563,-0.05315593104102573,-11.496338380409377,-0.05315593104102573
momentum,14.0,3,-0.2609577721258424,-11.322909141290687,101047,-0.07478281853281853,-11.512886100386101,103600,-0.6786938196714855,-12.422942844763067,101548,0.24841615521678875,-11.083943773510196,10102,-0.057164921234900065,-11.418375173129405,-0.057164921234900065
reversal,16.0,1,0.2378212378672699,-10.863258542231106,76034,0.0971291374573094,-11.430809131294456,77886,1.0708065964674798,-10.786617032630907,76829,-0.6346078559310975,-12.054678324416026,7663,-0.05796247063395604,-11.50141133558696,-0.05796247063395604
cross_section,0.8,1,-0.034573657021929376,-11.351595493988597,216422,-0.014575752457866966,-11.524394425593547,195393,-0.042334159097164877,-11.396716963190952,199815,-0.1440107671601615,-11.812920592193809,19318,-0.08098485098260669,-11.600519794882285,-0.08098485098260669
momentum,12.0,1,-0.13618964475186354,-11.186324327147643,134019,-0.12126727654930454,-11.490943316072043,136529,-0.5901027182201489,-12.233994198738076,133764,0.10333775419982316,-11.175803124078985,13572,-0.09350480260333553,-11.399664064290192,-0.09350480260333553
momentum,2.0,1,-0.07885108753663356,-11.284257638037097,427204,-0.09659831390851246,-11.452770621400678,430463,-0.2057803140128036,-11.65294703310165,422849,-0.13018419765735975,-11.513215192231563,42943,-0.12453981633676163,-11.476294543357007,-0.12453981633676163
momentum,10.0,2,-0.08729270525994506,-11.097648740836728,186751,-0.21657518974314996,-11.450961579692123,186568,-0.1853459363899577,-11.626576978440891,182707,-0.10694331434770817,-11.335394629780309,18435,-0.13669996091558134,-11.354636194273045,-0.13669996091558134
momentum,6.0,3,-0.08130830890075641,-11.184977129739549,292301,-0.09403410252565868,-11.381148881649787,293468,-0.2204590870388712,-11.646457801178126,287745,-0.16703277844516903,-11.471082889994852,29135,-0.14330209564143978,-11.42218117295227,-0.14330209564143978
momentum,10.0,3,-0.11524308921751893,-11.12553762432981,186701,-0.1765298791537546,-11.410834343066085,186518,-0.38323195935551335,-11.824512611068833,182657,-0.06684797389175959,-11.294370410660864,18385,-0.14592097582887353,-11.363417969936892,-0.14592097582887353
cross_section,1.0,1,-0.04115199941355423,-11.562138816601303,163698,-0.0313573883161512,-11.667391537800688,148992,-0.054065435478064784,-11.773570424304994,147229,-0.2766767729054204,-12.058640834134438,13523,-0.14711624067509,-11.838330009886645,-0.14711624067509
momentum,4.0,1,-0.10075818372626817,-11.257745988809635,356378,-0.09694516666017136,-11.420066029384746,359234,-0.25952702779450015,-11.696713956314815,352156,-0.16407120570537106,-11.503565856919991,35896,-0.1523017668138799,-11.466674132700094,-0.1523017668138799
momentum,2.0,2,-0.045611184724946977,-11.250998468936261,427154,-0.08648437663360539,-11.442635329323231,430413,-0.10759722705115196,-11.554757698102408,422799,-0.25799081435199217,-11.640897116079547,42893,-0.15865456278777976,-11.510344116603054,-0.15865456278777976
cross_section,0.8,2,-0.05892167193537057,-11.375940509862644,216372,-0.0285225795223031,-11.538376485764305,195354,-0.084933049680891,-11.439329245401076,199775,-0.28556246759979265,-11.954639709694142,19290,-0.15873191816357507,-11.678350655297915,-0.15873191816357507
