threshold,hold,spread_max,size_scale,taker_frac,day2_pnl,day2_trades,day3_pnl,day3_trades,day4_pnl,day4_trades,day3_10pct_pnl,day3_10pct_trades,total_3days,score
8.0,3,8,0.5,1.0,-2671958.5,42378,-4084509.75,53376,-2190026.75,56827,-389618.375,4727,-8946495.0,-1556264.35625
8.0,1,8,0.75,0.4,-3067973.7750000004,42478,-4617531.75,53476,-1141463.625,56927,-439704.375,4827,-8826969.15,-1565882.7787499998
8.0,1,10,0.25,0.2,-3675952.9124999996,116804,-3585216.7625,113535,-1934119.9749999999,102982,-369660.875,11349,-9195289.65,-1582606.92875
8.0,1,12,0.15,0.4,-3457367.3099999996,150403,-3335321.775,145927,-2455609.4850000003,139947,-370556.115,15290,-9248298.57,-1591050.6487499997
8.0,3,12,0.15,0.4,-3454557.0449999995,150303,-3325235.5949999997,145827,-2652062.6549999993,139847,-365552.91000000003,15190,-9431855.294999998,-1615832.3947499997
8.0,3,10,0.25,0.2,-3669388.75,116704,-3589460.0375000006,113435,-2241762.325,102882,-376354.275,11249,-9500611.1125,-1632086.518125
8.0,2,8,0.5,0.8,-2586367.7,42428,-3727949.5999999996,53426,-3458567.4000000004,56877,-363638.44999999995,4777,-9772884.7,-1665933.8525
8.0,2,12,0.15,0.4,-3500758.1999999997,150353,-3348969.5849999995,145877,-3117311.565,139897,-371606.94,15240,-9967039.35,-1699439.7195
8.0,1,12,0.15,0.6,-3759703.215,150403,-3621605.2125,145927,-2733789.9899999998,139947,-402108.62249999994,15290,-10115098.4175,-1738424.5050000001
8.0,3,8,0.75,0.4,-3052941.2249999996,42378,-4933095.299999999,53376,-1924900.2750000004,56827,-475355.32500000007,4727,-9910936.799999999,-1748085.9487499997
8.0,1,10,0.25,0.4,-4033524.2,116804,-3922098.9,113535,-2240004.5749999997,102982,-404144.125,11349,-10195627.674999999,-1751623.4200000002
8.0,2,10,0.25,0.2,-3734561.5625,116754,-3606254.7625,113485,-2972207.7375000003,102932,-376054.55,11299,-10313024.0625,-1753783.611875
8.0,1,8,0.75,0.6,-3387058.9125,42478,-5016183.0,53476,-1595691.375,56927,-476795.4375,4827,-9998933.2875,-1762077.48375
8.0,3,12,0.15,0.6,-3756690.7049999996,150303,-3611323.7925,145827,-2930023.3200000003,139847,-396928.215,15190,-10298037.817499999,-1763016.1908749999
8.0,2,8,0.5,1.0,-2798833.0,42428,-3993471.75,53426,-3761114.75,56877,-388118.0,4777,-10553419.5,-1796477.8250000002
8.0,3,10,0.25,0.4,-4026644.500000001,116704,-3926048.4499999997,113435,-2547316.9,102882,-410568.92500000005,11249,-10500009.850000001,-1800814.3862500002
8.0,1,8,1.0,0.2,-3665184.8499999996,42478,-5625174.0,53476,-916314.500000001,56927,-536817.75,4827,-10206673.350000001,-1826250.7650000001
8.0,2,12,0.15,0.6,-3802992.6374999993,150353,-3635160.6525000003,145877,-3395384.235,139897,-403065.88499999995,15240,-10833537.524999999,-1846716.8654999998
8.0,1,12,0.15,0.8,-4062039.1199999996,150403,-3907888.6499999994,145927,-3011970.495,139947,-433661.12999999995,15290,-10981898.265,-1885798.3612499998
8.0,3,12,0.15,0.8,-4058824.3649999993,150303,-3897411.99,145827,-3207983.985,139847,-428303.52,15190,-11164220.34,-1910199.987
8.0,2,8,0.75,0.2,-2923457.6999999997,42428,-4397074.725,53426,-3826388.0250000004,56877,-435299.7,4777,-11146920.45,-1911452.9024999999
8.0,1,10,0.25,0.6,-4391095.4875,116804,-4258981.0375,113535,-2545889.1750000003,102982,-438627.3749999999,11349,-11195965.7,-1920639.91125
8.0,2,10,0.25,0.4,-4091967.6250000005,116754,-3942991.6499999994,113485,-3277927.7249999996,102932,-410401.35,11299,-11312887.0,-1922653.7925
8.0,3,8,0.75,0.6,-3371273.4000000004,42378,-5330985.075000001,53376,-2378280.2249999996,56827,-511712.73750000005,4727,-11080538.700000001,-1943522.810625
8.0,1,8,0.75,0.8,-3706144.0500000007,42478,-5414834.25,53476,-2049919.1250000005,56927,-513886.5,4827,-11170897.425,-1958272.1887500002
8.0,3,10,0.25,0.6,-4383900.25,116704,-4262636.8625,113435,-2852871.475,102882,-444783.57499999995,11249,-11499408.5875,-1969542.2543749998
8.0,2,12,0.15,0.8,-4105227.0749999993,150353,-3921351.7199999993,145877,-3673456.9050000003,139897,-434524.82999999996,15240,-11700035.7,-1993994.0114999998
8.0,1,12,0.15,1.0,-4364375.025,150403,-4194172.0875,145927,-3290151.0,139947,-465213.63749999995,15290,-11848698.1125,-2033172.2174999998
8.0,3,12,0.15,1.0,-4360958.024999999,150303,-4183500.187499999,145827,-3485944.6500000004,139847,-459678.825,15190,-12030402.862499999,-2057383.7831249998
8.0,3,8,1.0,0.2,-3646145.4,42378,-6046940.700000001,53376,-1962027.1,56827,-585330.55,4727,-11655113.200000001,-2070198.7825000002
8.0,1,8,1.0,0.4,-4090631.6999999997,42478,-6156709.000000001,53476,-1521951.5,56927,-586272.5,4827,-11769292.200000001,-2087843.705
